~~NOTOC~~
======Moves======
<WRAP leftalign>
<button type="success" size="lg">[[dex:pokedex|Return to the main Pokédex Navigation page]]</button>
</WRAP>
\\

Use the Search option in this section to browse within the table. You can also sort the table alphabetically by clicking on a column's title.

Click on a link to access the section of the corresponding move.

<datatables buttons='[]'>
<WRAP tablewidth 100%>
^ All Moves ^^
^ Name ^ Type ^ Category ^ Power ^ Acc ^ PP ^
| **[[movedex:1|Absorb]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 20 | 100 | 25 |
| **[[movedex:106|Chilling Water]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 50 | 100 | 20 |
| **[[movedex:107|Chilly Reception]]** | {{gameplay:types:en_Ice.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:108|Chip Away]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 70 | 100 | 20 |
| **[[movedex:109|Chloroblast]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 150 | 95 | 5 |
| **[[movedex:110|Circle Throw]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 90 | 10 |
| **[[movedex:111|Clamp]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 35 | 85 | 15 |
| **[[movedex:112|Clanging Scales]]** | {{gameplay:types:en_Dragon.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 110 | 100 | 5 |
| **[[movedex:113|Clangorous Soul]]** | {{gameplay:types:en_Dragon.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 5 |
| **[[movedex:114|Clear Smog]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 50 | — | 15 |
| **[[movedex:115|Close Combat]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 120 | 100 | 5 |
| **[[movedex:116|Coaching]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:117|Coil]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:118|Collision Course]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 100 | 5 |
| **[[movedex:119|Combat Torque]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 100 | 10 |
| **[[movedex:120|Comet Punch]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 18 | 85 | 15 |
| **[[movedex:121|Comeuppance]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | — | 100 | 10 |
| **[[movedex:122|Confide]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:123|Confuse Ray]]** | {{gameplay:types:en_Ghost.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 10 |
| **[[movedex:124|Confusion]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 50 | 100 | 25 |
| **[[movedex:125|Constrict]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 10 | 100 | 35 |
| **[[movedex:126|Conversion]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 30 |
| **[[movedex:127|Conversion 2]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 30 |
| **[[movedex:128|Copycat]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:129|Core Enforcer]]** | {{gameplay:types:en_Dragon.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 100 | 100 | 10 |
| **[[movedex:130|Corrosive Gas]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 40 |
| **[[movedex:131|Cosmic Power]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:132|Cotton Guard]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:133|Cotton Spore]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 40 |
| **[[movedex:134|Counter]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | — | 100 | 20 |
| **[[movedex:135|Court Change]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 10 |
| **[[movedex:136|Covet]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 25 |
| **[[movedex:137|Crabhammer]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 90 | 10 |
| **[[movedex:138|Crafty Shield]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:139|Cross Chop]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 80 | 5 |
| **[[movedex:140|Cross Poison]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 70 | 100 | 20 |
| **[[movedex:141|Crunch]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 15 |
| **[[movedex:142|Crush Claw]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 75 | 95 | 10 |
| **[[movedex:143|Crush Grip]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | — | 100 | 5 |
| **[[movedex:144|Curse]]** | {{gameplay:types:en_Ghost.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:145|Cut]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 50 | 95 | 30 |
| **[[movedex:146|Dark Pulse]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | 100 | 15 |
| **[[movedex:147|Dark Void]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 50 | 10 |
| **[[movedex:148|Darkest Lariat]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 85 | 100 | 10 |
| **[[movedex:149|Dazzling Gleam]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:150|Decorate]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 15 |
| **[[movedex:151|Defend Order]]** | {{gameplay:types:en_Bug.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:152|Defense Curl]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 40 |
| **[[movedex:153|Defog]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 15 |
| **[[movedex:154|Destiny Bond]]** | {{gameplay:types:en_Ghost.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 5 |
| **[[movedex:155|Detect]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 5 |
| **[[movedex:156|Diamond Storm]]** | {{gameplay:types:en_Rock.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 95 | 5 |
| **[[movedex:157|Dig]]** | {{gameplay:types:en_Ground.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:158|Dire Claw]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 15 |
| **[[movedex:159|Disable]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 20 |
| **[[movedex:160|Disarming Voice]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 40 | — | 15 |
| **[[movedex:161|Discharge]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | 100 | 15 |
| **[[movedex:162|Dive]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:163|Dizzy Punch]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 70 | 100 | 10 |
| **[[movedex:164|Doodle]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 10 |
